date,DEU,DNK,FIN,NLD,NOR,SWE
2020-03-02,0,0,0,0,0,0
2020-03-03,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0
2020-03-05,0,0,0,0,0,0
2020-03-06,0,0,0,0,0,0
2020-03-07,0,0,0,1,0,0
2020-03-08,0,0,0,1,0,0
2020-03-09,0,0,0,3,0,0
2020-03-10,2,0,0,3,0,0
2020-03-11,2,0,0,4,0,0
2020-03-12,3,0,0,5,0,1
2020-03-13,5,0,0,5,1,1
2020-03-14,5,0,0,5,1,1
2020-03-15,8,0,0,12,1,1
2020-03-16,12,1,0,20,1,3
2020-03-17,13,1,0,24,3,7
2020-03-18,13,4,0,43,3,8
2020-03-19,13,4,0,58,3,10
2020-03-20,43,6,0,76,6,10
2020-03-21,45,9,0,106,7,16
2020-03-22,67,13,1,136,7,20
2020-03-23,94,13,1,179,7,21
2020-03-24,126,24,1,213,8,25
2020-03-25,149,32,1,276,10,36
2020-03-26,198,34,3,356,12,42
2020-03-27,253,41,4,434,14,66
2020-03-28,325,52,7,546,16,92
2020-03-29,389,65,9,639,20,102
2020-03-30,455,72,11,771,22,110
2020-03-31,583,77,13,864,26,146
2020-04-01,732,90,17,1039,28,180
2020-04-02,872,104,17,1173,32,239
2020-04-03,1017,123,19,1339,42,282
2020-04-04,1158,139,20,1487,44,333
2020-04-05,1342,161,25,1651,50,373
2020-04-06,1434,179,27,1766,58,401
2020-04-07,1607,187,27,1867,59,477
2020-04-08,1861,203,34,2101,69,591
2020-04-09,2107,218,40,2248,80,687
2020-04-10,2373,237,42,2396,88,793
2020-04-11,2544,247,48,2511,92,870
2020-04-12,2673,260,49,2643,98,887
2020-04-13,2799,273,56,2737,103,899
2020-04-14,2969,285,59,2823,114,919
2020-04-15,3254,299,64,2945,127,1033
2020-04-16,3569,309,72,3134,130,1203
2020-04-17,3868,321,75,3315,136,1333
2020-04-18,4110,336,82,3459,136,1400
2020-04-19,4294,346,90,3601,148,1511
2020-04-20,4404,355,94,3684,154,1540
2020-04-21,4598,364,98,3751,154,1580
2020-04-22,4879,370,141,3916,163,1765
2020-04-23,5094,384,149,4054,169,1937
2020-04-24,5321,394,172,4177,180,2021
2020-04-25,5500,403,177,4289,191,2152
2020-04-26,5640,418,186,4409,193,2192
2020-04-27,5750,422,190,4475,193,2194
2020-04-28,5913,427,193,4518,193,2274
2020-04-29,6115,434,199,4566,195,2355
2020-04-30,6288,443,206,4711,202,2462
2020-05-01,6288,452,211,4795,204,2586
2020-05-02,6575,462,218,4893,204,2653
2020-05-03,6649,473,220,4987,204,2669
2020-05-04,6692,481,230,5056,208,2679
2020-05-05,6831,490,240,5082,208,2769
2020-05-06,6996,497,246,5168,209,2854
2020-05-07,7119,500,252,5204,209,2941
2020-05-08,7266,506,255,5288,209,3040
2020-05-09,7369,512,260,5359,213,3175
2020-05-10,7395,516,265,5422,213,3220
2020-05-11,7417,519,267,5440,217,3225
2020-05-12,7533,524,271,5456,224,3256
2020-05-13,7634,528,275,5510,228,3313
2020-05-14,7723,534,284,5562,229,3460
2020-05-15,7824,538,287,5590,232,3529
2020-05-16,7881,538,293,5643,232,3646
2020-05-17,7914,543,297,5670,232,3674
2020-05-18,7935,547,298,5680,232,3679
2020-05-19,8007,548,300,5694,233,3698
2020-05-20,8090,551,301,5715,233,3743
2020-05-21,8147,554,304,5748,234,3831
2020-05-22,8174,561,306,5775,234,3871
2020-05-23,8216,561,306,5788,235,3925
2020-05-24,8247,561,306,5811,235,3992
2020-05-25,8257,562,307,5822,235,3998
2020-05-26,8302,563,308,5830,235,4029
2020-05-27,8349,563,312,5856,235,4125
2020-05-28,8411,565,313,5871,235,4220
2020-05-29,8450,568,313,5903,236,4266
2020-05-30,8489,568,314,5931,236,4350
2020-05-31,8500,571,316,5951,236,4395
2020-06-01,8511,574,320,5956,236,4395
2020-06-02,8522,576,320,5962,236,4403
2020-06-03,8551,580,320,5967,237,4468
2020-06-04,8581,580,321,5977,237,4542
2020-06-05,8613,582,322,5990,238,4562
2020-06-06,8646,586,322,6005,238,4639
2020-06-07,8668,587,322,6011,238,4656
2020-06-08,8674,589,323,6013,238,4659
